x,y1,y2,y3,y4,y5,y6
1974.9166667,78.583647042,121.70772889,177.8429084,101.17742091,156.69230276,177.23312536
1975,75.872511219,116.41344268,178.0385356,100.47929671,161.80047183,178.47375724
1975.0833333,86.236696252,131.45405948,192.76232249,99.71565405,160.31190749,179.50890503
1975.1666667,91.031456564,130.59960809,184.20367538,100.86238407,156.91329505,180.28079332
1975.25,93.452893308,135.81053245,188.60614322,102.1029914,154.85773089,181.01994458
1975.3333333,97.405950695,134.83269662,186.4748938,103.55285387,152.76715152,181.81643233
1975.4166667,102.46131954,138.72936155,178.82942315,102.52768062,151.8352719,182.61642464
1975.5,107.41020127,140.69931849,181.33303508,99.800444316,153.50545989,183.36515198
1975.5833333,100.33186901,145.53937504,184.39756337,100.25952636,155.39357704,184.24530471
1975.6666667,97.472410739,141.40605679,182.66422627,101.38243306,153.94841678,185.12968217
1975.75,93.320086042,141.47675982,183.44968245,101.91975995,154.79513307,186.11086948
1975.8333333,98.275382611,135.50644056,183.94499659,101.4305451,158.200626,187.15309035
1975.9166667,100.86985271,134.01586971,187.71586902,100.7408174,161.01659714,187.92041802
1976,99.255935068,133.94886178,190.88826721,100.65015066,161.9504934,188.82243603
1976.0833333,111.32545677,142.41442984,207.24739171,98.848512963,165.6267696,189.70990148
1976.1666667,111.68169823,153.77910134,219.3091899,96.278451626,171.97027488,190.35491515
1976.25,114.27271363,151.64157183,219.06794979,95.960732736,173.58679546,191.11633481
1976.3333333,112.5700502,151.76288509,218.76125467,96.344575667,171.71205807,191.91902341
1976.4166667,111.06161153,150.09349335,215.80797773,98.705017771,169.30808926,192.6291238
1976.5,115.55960679,148.48749297,217.29705277,98.043694152,171.01810096,193.45742903
1976.5833333,114.323119,149.42296418,221.05629179,97.014235363,171.49695164,194.36667895
1976.6666667,113.68290954,146.46438949,222.84684775,96.616476998,170.55371841,195.183019
1976.75,116.03614576,146.61085388,222.20059189,97.563318473,168.59235065,196.04182428
1976.8333333,113.22807104,146.80144799,221.80063083,97.377948168,167.96855895,196.84559576
1976.9166667,113.63569209,150.70636651,225.14982035,96.004919098,168.11973065,197.63297815
1977,120.05610869,156.19207825,230.26072127,95.4096886,171.95286051,198.42351006
1977.0833333,115.19383629,165.40741086,240.09285407,94.923099188,175.34033187,199.13783469
1977.1666667,112.95907587,167.17727016,241.22129049,94.771222229,174.95458314,199.83481712
1977.25,111.41153653,169.3672924,243.85060255,94.486908563,174.84961039,200.59418942
1977.3333333,111.57865383,170.40043288,252.09275292,92.57827301,176.84289594,201.35644734
1977.4166667,109.96076335,172.63267855,254.23554132,92.883781311,177.17889745,202.1014662
1977.5,115.13991531,176.22343827,252.35419831,93.729023721,175.05275068,202.90987206
1977.5833333,113.19405074,179.53643891,250.91577938,94.422618496,175.21029815,203.76209352
1977.6666667,111.21315485,181.08045228,244.06577861,95.357402419,174.0013471,204.65864673
1977.75,110.91287933,183.66990275,242.94307602,96.740084754,172.53973578,205.53867892
1977.8333333,106.05489522,186.38821731,247.3403457,96.556278593,172.03937055,206.54581844
1977.9166667,110.29709103,193.17274842,247.90922849,96.430755431,173.26085008,207.57854753
1978,110.59489317,196.24419512,247.16550081,97.308275306,172.06535021,208.59568242
1978.0833333,103.94814009,201.58203723,255.47026164,95.654034625,174.68074353,209.61780126
1978.1666667,102.51365576,209.0405726,257.59066481,95.96969294,176.49742327,210.58204315
1978.25,105.43529495,216.79597785,260.57871652,95.403471751,179.81557482,211.69812798
1978.3333333,113.74359619,216.21062871,251.27605634,98.103390002,177.49595391,212.84129787
1978.4166667,115.74548348,226.1130755,249.94429324,98.338838138,178.15268894,213.92678849
1978.5,113.78938481,229.64043948,251.36897571,96.95226052,178.09924313,215.08199314
1978.5833333,119.60402238,229.93897205,248.57878008,98.455020558,176.69225911,216.2864523
1978.6666667,124.08917321,241.32095117,247.16188104,99.843236348,177.46970505,217.49765644
1978.75,122.31469804,240.57285622,251.75909202,99.194255312,180.66415974,218.84614191
1978.8333333,107.7470175,216.3471696,255.2585434,99.372804971,182.45273492,220.33429567
