x,y1,y2,y3,y4
2016.25,-2.5,4,2,0
2016.3333333,7,8,5,40
2016.4166667,8.9,19,11,40
2016.5,32,9,6,17
2016.5833333,11.5,11,8,38
2016.6666667,3,8,6,20
2016.75,46,17,10,50
2016.8333333,9.5,21,18,35
2016.9166667,-0.1,3,1,0
2017,9.9,8,5,0
2017.0833333,5.1,10,7,57
2017.1666667,1.9,8,3,0
2017.25,15.5,14,10,40
2017.3333333,12.2,20,14,43
2017.4166667,3.4,19,11,9
2017.5,7.6,23,10,29
2017.5833333,28.3,15,7,33
2017.6666667,-4.9,8,5,25
2017.75,24.9,19,6,67
2017.8333333,36.5,22,10,60
2017.9166667,9.2,32,17,19
2018,7.2,12,6,0
2018.0833333,27.6,20,12,45
2018.1666667,-2.9,19,11,22
2018.25,22.7,17,7,67
2018.3333333,29.7,13,9,67
2018.4166667,10.4,23,13,42
2018.5,22.6,36,24,52
2018.5833333,21.5,25,14,43
2018.6666667,11.4,15,6,0
2018.75,26.1,24,13,77
2018.8333333,21.3,27,18,39
2018.9166667,0.9,11,4,0
2019,-1.4,9,3,33
2019.0833333,-6.6,8,1,100
2019.1666667,3.3,20,8,0
2019.25,30.6,13,4,75
2019.3333333,29.3,18,13,82
2019.4166667,20.9,33,16,19
2019.5,38.8,24,18,61
2019.5833333,22.8,24,12,58
2019.6666667,12.8,10,4,25
2019.75,21.2,15,12,50
2019.8333333,8.8,20,13,0
2019.9166667,13.1,28,5,0
2020,53.4,13,6,50
2020.0833333,45,13,6,33
2020.1666667,24.9,20,8,63
2020.25,-8.9,5,2,0
2020.3333333,38.5,9,3,100
2020.4166667,35.4,17,6,50
2020.5,36.7,36,20,55
2020.5833333,44.5,46,24,88
2020.6666667,61.9,46,15,53
2020.75,30.7,67,24,63
2020.8333333,17.8,92,31,39
2020.9166667,38.5,42,7,71
2021,86.3,58,19,74
